id	yt-simple-endpoint href	durations	yt-simple-endpoint	yt-simple-endpoint 2	yt-simple-endpoint href 3	style-scope 5	style-scope 7	style-scope 9
39	https://www.youtube.com/watch?v=bmWQqAKLgT4&list=WL&index=39&t=744s&pp=gAQBiAQB	39:15	Vite: The Documentary	CultRepo	https://www.youtube.com/@cultrepo	117K views	4 weeks ago	WATCHED
40	https://www.youtube.com/watch?v=X6cmhECDOU0&list=WL&index=40&pp=gAQBiAQB	4:37	Physics Nobel Prize awarded to three scientists for work on quantum computing | BBC News	BBC News	https://www.youtube.com/@BBCNews	548K views	1 month ago	WATCHED
41	https://www.youtube.com/watch?v=iKmYgSAbVYU&list=WL&index=41&t=917s&pp=gAQBiAQB	1:10:53	The Deep Beauty of Our Solar System | BBC Earth Science	BBC Earth Science	https://www.youtube.com/@BBCEarthScience	134K views	1 month ago	WATCHED
42	https://www.youtube.com/watch?v=3eBN_9rMoVI&list=WL&index=42&t=1751s&pp=gAQBiAQB	1:59:57	The world’s biggest problem? Powerful psychopaths. | Brian Klaas	Big Think	https://www.youtube.com/@bigthink	1M views	2 years ago	WATCHED
43	https://www.youtube.com/watch?v=hYW9YDwHE20&list=WL&index=43&t=23s&pp=gAQBiAQB	12:39	My app made $80K in 6 months	Starter Story	https://www.youtube.com/@starterstory	38K views	1 month ago	WATCHED
44	https://www.youtube.com/watch?v=5yA4o9fSJek&list=WL&index=44&pp=gAQBiAQB0gcJCQMKAYcqIYzv	44:09	Greg Brockman: AGI, Sora 2, Bottlenecks, White Collar, Proactive AI, and more!	Matthew Berman	https://www.youtube.com/@matthew_berman	56K views	1 month ago	
45	https://www.youtube.com/watch?v=dthbi4lzO58&list=WL&index=45&pp=gAQBiAQB0gcJCQMKAYcqIYzv	12:44	AI Could Wipe Out the Working Class | Sen. Bernie Sanders	Senator Bernie Sanders	https://www.youtube.com/@SenatorSanders	1.6M views	1 month ago	WATCHED
46	https://www.youtube.com/watch?v=npYo7ee_fr0&list=WL&index=46&t=2043s&pp=gAQBiAQB	40:18	What the Higgs Boson Actually Is (No Analogies)	Physics Explained	https://www.youtube.com/@PhysicsExplainedVideos	293K views	1 month ago	WATCHED
47	https://www.youtube.com/watch?v=JfE1Wun9xkk&list=WL&index=47&pp=gAQBiAQB	49:27	Sam Altman on Sora, Energy, and Building an AI Empire	a16z	https://www.youtube.com/@a16z	162K views	1 month ago	
48	https://www.youtube.com/watch?v=y2ab3A_pBiY&list=WL&index=48&t=271s&pp=gAQBiAQB	9:03	Nvidia CEO Jensen Huang: Want to be part of almost everything Elon Musk is involved in	CNBC Television	https://www.youtube.com/@CNBCtelevision	727K views	1 month ago	WATCHED
49	https://www.youtube.com/watch?v=4Vf8pljp1FY&list=WL&index=49&pp=gAQBiAQB	11:25	BREAKING NEWS: Jeff Bezos Compares AI Boom to Internet Bubble at Italian Tech Week 2025 | AI1G	DRM News	https://www.youtube.com/@DRMNewsInternational	212K views	1 month ago	WATCHED
